source_id,category,name,scope,url,status
SRC-WHO-TM,policy,World Health Organization Traditional Medicine,global traditional medicine,https://www.who.int/health-topics/traditional-complementary-and-integrative-medicine,DISCOVERY
SRC-PUBMED,research,PubMed,biomedical literature,https://pubmed.ncbi.nlm.nih.gov/,DISCOVERY
SRC-COCHRANE,research,Cochrane,systematic reviews,https://www.cochranelibrary.com/,DISCOVERY
SRC-NCCIH,research,National Center for Complementary and Integrative Health,complementary and integrative health,https://www.nccih.nih.gov/,DISCOVERY
SRC-EMA-HERBAL,regulation,European Medicines Agency Herbal Medicinal Products,EU herbal monographs,https://www.ema.europa.eu/,DISCOVERY
SRC-KEW-POWO,botany,Plants of the World Online,Kew botanical taxonomy and distribution,https://powo.science.kew.org/,DISCOVERY
SRC-GBIF,botany,Global Biodiversity Information Facility,biodiversity occurrence,https://www.gbif.org/,DISCOVERY
SRC-IUCN,conservation,IUCN Red List,species conservation,https://www.iucnredlist.org/,DISCOVERY
SRC-UNESCO,heritage,UNESCO,cultural heritage,https://www.unesco.org/,DISCOVERY
SRC-WIPO-TK,rights,World Intellectual Property Organization Traditional Knowledge,traditional knowledge and IP,https://www.wipo.int/tk/en/,DISCOVERY
